                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.00094,                    0.5,                      1,                0.09686,             0.00026161,             0.00026161,             0.00026161
                     67,                  9e-05,                  0.625,                      1,                0.09161,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00389,                  0.625,                      1,                0.08905,             0.00024747,             0.00024747,             0.00024747
                     69,                  8e-05,                  0.625,                      1,                 0.0896,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00035,                  0.625,                      1,                0.09064,             0.00023334,             0.00023334,             0.00023334
                     71,                  5e-05,                  0.625,                      1,                0.08948,             0.00022627,             0.00022627,             0.00022627
                     72,                  8e-05,                  0.625,                      1,                0.08838,              0.0002192,              0.0002192,              0.0002192
                     73,                  4e-05,                  0.625,                      1,                0.08826,             0.00021213,             0.00021213,             0.00021213
                     74,                  9e-05,                  0.625,                      1,                 0.0882,             0.00020506,             0.00020506,             0.00020506
                     75,                 0.0001,                  0.625,                      1,                0.08813,             0.00019799,             0.00019799,             0.00019799
                     76,                  5e-05,                  0.625,                      1,                 0.0882,             0.00019092,             0.00019092,             0.00019092
                     77,                  6e-05,                  0.625,                      1,                0.08813,             0.00018385,             0.00018385,             0.00018385
                     78,                  4e-05,                  0.625,                      1,                0.08807,             0.00017679,             0.00017679,             0.00017679
                     79,                  4e-05,                  0.625,                      1,                0.08801,             0.00016972,             0.00016972,             0.00016972
